date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:01	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20May%202019%2023:10:02%20GMT	http://max-themes.net/robots.txt		(from )
02:10:01	28866/28866	---M--	200	added ('OK')	text/html	date:Mon,%2029%20May%202017%2017:57:40%20GMT	http://max-themes.net//demos/albertos/	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/index.html	(from )
02:10:02	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2031%20Jan%202017%2013:18:48%20GMT	http://max-themes.net//demos/albertos/images/favicon.ico	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/images/favicon.ico	(from http://max-themes.net//demos/albertos/)
02:10:02	29649/29649	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2016:46:06%20GMT	http://max-themes.net//demos/albertos/rs-slider/css/settings.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/rs-slider/css/settings.css	(from http://max-themes.net//demos/albertos/)
02:10:03	55708/55708	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202017%2017:00:04%20GMT	http://max-themes.net//demos/albertos/css/animsition.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/animsition.css	(from http://max-themes.net//demos/albertos/)
02:10:04	35140/35140	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2013:19:04%20GMT	http://max-themes.net//demos/albertos/css/font-awesome.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/font-awesome.css	(from http://max-themes.net//demos/albertos/)
02:10:05	12442/12442	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2013:19:08%20GMT	http://max-themes.net//demos/albertos/css/simple-line-icons.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/simple-line-icons.css	(from http://max-themes.net//demos/albertos/)
02:10:05	9747/9747	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Feb%202017%2015:04:28%20GMT	http://max-themes.net//demos/albertos/css/pe-icon-7-stroke.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/pe-icon-7-stroke.css	(from http://max-themes.net//demos/albertos/)
02:10:05	863/863	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2014:59:00%20GMT	http://max-themes.net//demos/albertos/css/flaticon.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/flaticon.css	(from http://max-themes.net//demos/albertos/)
02:10:05	4615/4615	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2013:19:06%20GMT	http://max-themes.net//demos/albertos/css/owl.carousel.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/owl.carousel.css	(from http://max-themes.net//demos/albertos/)
02:10:06	141/141	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2013:19:04%20GMT	http://max-themes.net//demos/albertos/css/jquery.easy-pie-chart.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/jquery.easy-pie-chart.css	(from http://max-themes.net//demos/albertos/)
02:10:06	4476/4476	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2013:19:06%20GMT	http://max-themes.net//demos/albertos/css/owl.transitions.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/owl.transitions.css	(from http://max-themes.net//demos/albertos/)
02:10:06	40985/40985	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202017%2020:13:52%20GMT	http://max-themes.net//demos/albertos/css/style.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/style.css	(from http://max-themes.net//demos/albertos/)
02:10:07	6513/6513	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202017%2015:24:08%20GMT	http://max-themes.net//demos/albertos/css/media.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/media.css	(from http://max-themes.net//demos/albertos/)
02:10:07	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202017%2016:49:40%20GMT	http://max-themes.net//demos/albertos/css/custom_script.css	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/css/custom_script.css	(from http://max-themes.net//demos/albertos/)
02:10:08	28866/28866	---M--	200	added ('OK')	text/html	date:Mon,%2029%20May%202017%2017:57:40%20GMT	http://max-themes.net//demos/albertos/index.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/index-2.html	(from http://max-themes.net//demos/albertos/)
02:10:09	6503/6503	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Jan%202017%2014:12:40%20GMT	http://max-themes.net//demos/albertos/images/logo.png	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/images/logo.png	(from http://max-themes.net//demos/albertos/)
02:10:09	28038/28038	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2020:42:16%20GMT	http://max-themes.net//demos/albertos/menu.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/menu.html	(from http://max-themes.net//demos/albertos/)
02:10:10	20784/20784	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:05:16%20GMT	http://max-themes.net//demos/albertos/pizzas.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/pizzas.html	(from http://max-themes.net//demos/albertos/)
02:10:11	10031/10031	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2022:57:04%20GMT	http://max-themes.net//demos/albertos/about.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/about.html	(from http://max-themes.net//demos/albertos/)
02:10:11	12652/12652	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2023:09:28%20GMT	http://max-themes.net//demos/albertos/contact.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/contact.html	(from http://max-themes.net//demos/albertos/)
02:10:11	18723/18723	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2023:12:22%20GMT	http://max-themes.net//demos/albertos/blog.html	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/blog.html	(from http://max-themes.net//demos/albertos/)
02:10:12	12866/12866	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Jan%202017%2014:12:40%20GMT	http://max-themes.net//demos/albertos/images/logo-retina.png	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/images/logo-retina.png	(from http://max-themes.net//demos/albertos/)
02:10:29	97184/97184	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Jan%202017%2020:47:46%20GMT	http://max-themes.net//demos/albertos/js/jquery/jquery.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/jquery/jquery.js	(from http://max-themes.net//demos/albertos/)
02:10:31	10056/10056	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Jan%202017%2020:47:42%20GMT	http://max-themes.net//demos/albertos/js/jquery/jquery-migrate.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/jquery/jquery-migrate.min.js	(from http://max-themes.net//demos/albertos/)
02:10:47	101873/101873	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202015%2020:37:36%20GMT	http://max-themes.net//demos/albertos/rs-slider/js/jquery.themepunch.tools.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/rs-slider/js/jquery.themepunch.tools.min.js	(from http://max-themes.net//demos/albertos/)
02:10:53	8371/8371	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202017%2013:18:40%20GMT	http://max-themes.net//demos/albertos/js/modernizr.custom.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/modernizr.custom.js	(from http://max-themes.net//demos/albertos/)
02:10:54	4032/4032	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202017%2013:18:36%20GMT	http://max-themes.net//demos/albertos/js/jquery.animsition.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/jquery.animsition.min.js	(from http://max-themes.net//demos/albertos/)
02:10:55	45486/45486	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202015%2020:56:12%20GMT	http://max-themes.net//demos/albertos/rs-slider/js/jquery.themepunch.revolution.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/rs-slider/js/jquery.themepunch.revolution.min.js	(from http://max-themes.net//demos/albertos/)
02:10:55	2554/2554	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202017%2013:18:42%20GMT	http://max-themes.net//demos/albertos/js/superfish.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/superfish.js	(from http://max-themes.net//demos/albertos/)
02:10:56	8044/8044	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202017%2013:18:44%20GMT	http://max-themes.net//demos/albertos/js/waypoints.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/waypoints.min.js	(from http://max-themes.net//demos/albertos/)
02:10:57	1752/1752	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202017%2013:18:40%20GMT	http://max-themes.net//demos/albertos/js/jquery.mobilemenu.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/jquery.mobilemenu.js	(from http://max-themes.net//demos/albertos/)
02:10:57	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Apr%202017%2016:49:40%20GMT	http://max-themes.net//demos/albertos/js/custom-inline-js.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/custom-inline-js.js	(from http://max-themes.net//demos/albertos/)
02:11:00	22034/22034	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Aug%202017%2018:03:08%20GMT	http://max-themes.net//demos/albertos/js/custom.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/custom.js	(from http://max-themes.net//demos/albertos/)
02:11:01	23270/23270	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202015%2020:37:36%20GMT	http://max-themes.net//demos/albertos/js/extensions/revolution.extension.slideanims.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/extensions/revolution.extension.slideanims.min.js	(from http://max-themes.net//demos/albertos/)
02:11:02	3339/3339	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202015%2020:37:36%20GMT	http://max-themes.net//demos/albertos/js/extensions/revolution.extension.actions.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/extensions/revolution.extension.actions.min.js	(from http://max-themes.net//demos/albertos/)
02:11:04	7117/7117	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202015%2020:37:36%20GMT	http://max-themes.net//demos/albertos/js/extensions/revolution.extension.carousel.min.js	C:/Siturile%20Mele/pizza/max-themes.net/demos/albertos/js/extensions/revolution.extension.carousel.min.js	(from http://max-themes.net//demos/albertos/)
